index,company,blurb,location,field,joined,followers
113,Visionnaire Ventures,,San Francisco,Robotics,Oct 1,34
114,Wade &amp;amp; Wendy,Conversational AI to deliver talent and teams effective and personalized recruiting,New York City,Hr Tech,May 1,246
115,Import.io,Helping the world’s largest companies strategize for success with smart web-data,Los Gatos,B2B,Aug 1,214
116,Octane AI,The Buyer Profile Platform for Ecommerce,Remote,Messaging,Jun 1,115
117,HiOperator,Customer support as-a-service. YCombinator S16. 2019 43North Winner,Buffalo,Customer Service,Aug 1,106
118,Cardiogram,We want to turn your wearable device into a continuous health monitor,San Francisco,Mobile Health,Mar 1,64
119,Joonko,ENGINEERING THE FUTURE OF D&amp;I,Tel Aviv-Yafo,B2B,Mar 1,36
120,Scribe (acquired by Rippling),Convert your favorite apps into completely customizable Slack Bots,San Francisco,Sales Automation,Apr 1,62
121,Mosaix,Language AI for Emerging Markets,Palo Alto,Emerging Markets,Nov 1,177
122,HiringSolved,We make talent discovery easy,Chandler,Talent Analytics,Aug 1,38
123,CareSkore,Personalized Population Health Management,San Francisco,Predictive Analytics,Jan 1,118
124,NavTrac,AI-Powered Yard Management Software (YMS),Palo Alto,Computer Vision,Apr 1,48
125,Snappr,The easiest and most affordable way to book a great photographer,Sydney,Photo Sharing,Jun 1,95
126,Ordergroove,Frictionless relationship commerce generating recurring revenue for your business,New York City,B2B,May 1,78
127,MoBagel,Predictive AI for Enterprises,Taipei,Predictive Analytics,Feb 1,155
128,One Concern,A benevolent AI company that provides trusted insights to emergency responders,Palo Alto,Governments,Aug 1,141
129,Arterys,Transforming medical imaging by empowering physicians with our web-based AI platform,San Francisco,Deep Learning,Apr 1,148
130,Saleswhale,Saleswhale is an automated sales development assistant,Singapore,B2B,Aug 1,38
131,Hugging Face,"Democratizing NLP, one commit at a time!",Paris,Open Source,Jan 1,406
132,Krome Photos,Photo app &amp; crowdsource service for family &amp; business image editing in hours,Palo Alto,Crowdsourcing,Dec 1,62
133,Weave.ai,(TechStars &#39;15) Changing the way people interact with their devices,London,Consumer Electronics,Mar 1,102
134,Sense Chat (Sensay),Blockchain Powered Messaging Platform,Los Angeles,Messaging,Mar 1,311
135,Osmo,"Make kids fall in love with learning, through play",Palo Alto,Consumer Electronics,Jan 1,144
136,Growth Intelligence,Predictive go-to-market intelligence,London,Marketing,Nov 1,61
137,Storybricks,"I, for one, welcome our new AI overlords. 2010-2015",San Diego,MMO Games,Jul 1,299
138,Maluuba,,Waterloo,Speech Recognition,Sep 1,122
139,Skry (acquired by Bloq),Blockchain Intelligence,Palo Alto,Blockchains,Nov 1,309
140,Yodas.com,We&#39;re on a mission to empower individuals to reach their full potential,Mountain View,Artificial Intelligence,Mar 1,67
141,Thread Genius (acq. by Sotheby&#39;s),Mapping the world&#39;s visual taste,New York City,Deep Learning,Dec 1,136
142,Aromyx,"The Actual Nose, in a Sensor - Platform for Digital Smell and Taste Data",Mountain View,Synthetic Biology,Oct 1,231
143,BRAIQ,Personalizing the ride experience in autonomous cars,New York City,Neuroscience,Aug 1,43
144,BenchSci,ML platform for reagent selection and experiment design,Toronto,Deep Learning,Jul 1,73
145,SoundHound,Turning sound into understanding and actionable meaning,Boulder,Audio,Jul 1,93
146,Nexosis,Machine Learning for Developers,Columbus,Developer APIs,Jul 1,24
147,Ground News,World&#39;s First News Source Comparison platform,Kitchener,Artificial Intelligence,Mar 1,42
148,Sensum,Understanding consumer emotions anytime anywhere,Belfast,Market Research,Aug 1,23
149,James,Data Science for a safer Financial World ,Lisbon,PaaS,Sep 1,174
150,Gauss Surgical,AI-Enabled Platform for Surgery,Menlo Park,Computer Vision,Sep 1,130
151,Funding Options,"The UK&#39;s leading marketplace for business finance, helping businesses walk tall",London,B2B,Apr 1,66
152,Synx.co,Synx provides computer vision solutions to companies and organizations,San Jose,Computer Vision,Jul 1,38
153,Stepsize,SaaS to manage technical debt,London,Developer Tools,Feb 1,26
154,Fingertips Lab,Turns apps into radio stations,San Francisco,Wearables,Oct 1,70
155,Got It AI,Leveraging Transformers for Easy Deployment of Self-Managing Conversational AI at Lowest Cost,Hanoi,Real Time,Jun 1,331
156,Clarke.ai,AI Technology That Takes Notes During Your Conversations,New York City,Video Conferencing,Jul 1,101
157,Kemvi,AI-powered growth acceleration for modern sales and marketing teams,Cambridge,Artificial Intelligence,Jun 1,14
158,Attentive,Ensure CRM data quality with a fully automated tool,Boulder,Developer APIs,Jan 1,30
159,Neutun Labs,Conversational AI for Mental Health &amp; Chronic diseases,San Francisco,Mental Health,Nov 1,175
160,MedWhat,Personal Medical Assistant using medical artificial intelligence,San Francisco,Bioinformatics,Mar 1,186
161,Jibo,Interactive social robot,Boston,Robotics,Mar 1,127
162,Pluto AI,AI powered analytics platform for smart water management,Palo Alto,Deep Learning,Apr 1,74
163,Sensentia,Empowering people to fully understand their health insurance benefits,San Francisco,Mobile Health,Mar 1,214
164,Enertiv,We Transform Building Data into Asset Value,New York City,Internet of Things,Dec 1,285
165,Union Crate,Supply chain platform driven by AI,New York City,Supply Chain Management,Oct 1,18
166,firstAI,Fixed Income Machine Intelligence,New York City,Technology,Jul 1,49
167,RealSynth,Virtual Worlds to safely train and develop intelligent agents as a service,Berlin,Virtual Worlds,Jun 1,12
168,Vicarious AI,Combining insights from generative probabilistic models and systems neuroscience,Union City,Robotics,May 1,165
169,metadata.io,Autonomous Demand Generation,Vancouver,B2B,Sep 1,97
170,Yonder,A software company that helps users understand the cultural context behind information online,Austin,Data,Jul 1,31
171,Faception,"Facial Analytics,for early detection of visual symptoms of COVID-19 and Pandemic patients ",San Francisco,Fraud Detection,Mar 1,78
172,Enlitic,Enlitic uses deep learning to make doctors faster and more accurate,San Francisco,Predictive Analytics,Oct 1,221
173,Cucumber Tony,AI-powered WiFi. We optimise WiFi networks with AI and Machine Learning,London,Internet of Things,Oct 1,9
174,EverString,"Empower your organization with the most comprehensive, actionable business data",San Mateo,B2B,Jan 1,64
175,IamBot,Comprehensive conversational commerce solution backed by state-of-the-art AI,Burlingame,Mobile Commerce,Jun 1,5
176,Zoom.ai,Work Better,Toronto,Intelligent Assistants,Feb 1,127
177,Verdigris,Energy Intelligence for Critical Buildings,Mountain View,Real Estate Technology,Oct 1,429
178,NexLP,Next Generation Cognitive Computing,Chicago,SaaS,Jun 1,26
179,Rasa,Rasa supplies the standard infrastructure for conversational AI,Remote,Open Source,Dec 1,138
180,Mighty AI,Training Data as a Service™ for Autonomous Vehicle AI,Seattle,Computer Vision,Dec 1,154
181,Galaxy.AI,"AI based claim estimation, disrupting a $80B/year market",Cambridge,Insurance,Aug 1,51
182,Zumata,"Hotel Distribution API - Artificial Intelligence Travel Technology  - 500,000 Hotels",Singapore,Hospitality,Dec 1,86
183,Trendalytics,"Buy Better, Faster",New York City,Retail Technology,Jan 1,322
184,SkipFlag,AI knowledge base that builds itself from your internal communication,San Francisco,Knowledge Management,Jan 1,17
185,Ava Accessibility,Live subtitles for any conversation. enjoy 24/7 access to conversations around you,San Francisco,Communications Hardware,Mar 1,180
186,MDacne (YC W17),Building the future of Dermatology,San Francisco,Mobile Health,May 1,50
187,MonkeyLearn,Create new value from your data,Montevideo,Developer APIs,Nov 1,171
188,C3.ai,Helping industry leaders leverage enterprise AI at unprecedented scale to thrive in the digital era,Sydney,Predictive Analytics,Jan 1,112
189,bottr.me,Un-chain yourself with smart - cryptocurrency and chatbot powered - messaging platform,San Francisco,Messaging,Aug 1,83
190,Mycroft AI,"The custom, private, and open voice assistant",Kansas City,Consumer Electronics,Nov 1,146
191,Pathover,Intelligent optimization and logistics for the last mile,Sunnyvale,Logistics,May 1,48
192,Pager,"Patients can interact with their care team anytime, anywhere, via chat, voice &amp; video",Raleigh,Doctors,Mar 1,246
193,SupplyAI,Powering Customer-centric Commerce for DTC Brands,Sunnyvale,Retail Technology,Jan 1,155
194,Imagen Technologies,Applying Artificial Intelligence To Medical Diagnostics,New York City,Computer Vision,Feb 1,351
195,Glint,Leveraging real-time people data to fuel organizational success,Redwood City,Human Resources,Mar 1,36
196,GoodTime Labs,"Make commerce smarter, and proactive",Palo Alto,Families,Jun 1,89
197,Snips,Private by Design voice assistant that runs on the edge,Paris,Internet of Things,Dec 1,55
198,Ropazi,Shopping Made Personal for Busy Parents,San Francisco,Mobile Commerce,Apr 1,31
199,EquitySim,EquitySim is unlocking human potential through learning simulations,Vancouver,Hr Tech,Apr 1,63
200,Lambda,GPU Workstations and Servers. Computation as an accelerant for human progress,San Francisco,Hardware + Software,Oct 1,93
201,Kinzon Capital,Cross boarder venture capital,Palo Alto,Robotics,Jun 1,13
202,Beeketing,Marketing Automation for E-commerce #500Strong,San Francisco,Marketing Automation,Aug 1,37
203,Dave - Banking For Humans,Banking for Humans,Los Angeles,Finance Technology,Apr 1,152
204,Boon,making referral recruiting effortlessly scalable and infinitely effective,Culver City,Social Recruiting,Nov 1,179
205,Emailage,Fight fraud. give your customers the experience they deserve,Chandler,Real Time,Apr 1,29
206,Zoox,Create Autonomous Mobility | Change The Universe,Foster City,Robotics,Aug 1,180
207,SRI International,,Menlo Park,Robotics,Dec 1,173
208,AlfredCamera,Simple security at your fingertips,Taipei,Internet of Things,Nov 1,80
209,Luminoso Technologies,Illuminating the unknown in your data,San Francisco,Big Data Analytics,Mar 1,84
210,Asparia,Transform Operations with Intelligent Automation,Saratoga,mHealth,Nov 1,81
211,Meya,Meya is a customer experience (CX) automation platform,Waterloo,Messaging,Apr 1,53
212,re:infer,Enterprise Intelligence Layer -- automating interpretation of human communications data,London,SaaS,May 1,54
213,FoxType,A.I. for writing,San Francisco,Deep Learning,Nov 1,75
214,DeepScale,Perception for Autonomous Vehicles,Mountain View,Deep Learning,Feb 1,62
215,CarePredict,The premier deep learning platform in Eldercare,Palo Alto,Predictive Analytics,Sep 1,142
216,Thingthing Ltd. (Fleksy keyboard),The fastest and smartest keyboard in the world,London,Artificial Intelligence,Jan 1,53
217,Team Machine,Artificial intelligence to dramatically improve team performance and predict outcomes,San Francisco,Predictive Analytics,Jun 1,52
218,Get@ | GetAt,Follow your curiosity!,Silicon Valley,Augmented Reality,Dec 1,119
219,Flye,AI marketing platform to understand your audiences and activate targeted campaigns ,San Francisco,Social Media Marketing,May 1,43
220,Comet Labs,Intelligent Machines Accelerator Fund,San Francisco,Robotics,Dec 1,60
221,Deep Genomics,"Revolutions in AI, biology and automation are enabling a new approach to medicine. Deep Ge",Mammoth Lakes,Therapeutics,Nov 1,32
222,Ansa,Virtual assistant AI that symbiotically optimizes your health,Berkeley,Artificial Intelligence / Machine Learning,Aug 1,354
223,FightCamp (f.k.a Hykso),Connected at-home boxing workouts,Costa Mesa,Fitness,May 1,90
224,Snaps,Snaps Enables 1:1 Consumer Marketing At Scale,New York City,Messaging,Apr 1,226
225,Vahan,Helping low-skilled workers in India find jobs using WhatsApp,Bengaluru,Messaging,Nov 1,143
226,Arundo Analytics,"Built for capital-intensive, highly-engineered operations, Arundo products turn data into value",Palo Alto,Heavy Industry,Apr 1,19
227,jobpal,Our AI-powered chatbots are changing the recruiting industry,Berlin,B2B,Jan 1,80
228,Klue,Market and Competitive Intelligence (AI powered + VC Backed),Vancouver,B2B,Apr 1,216
229,Popsa,Machine Learning for your Memories,London,Personalization,Jul 1,35
230,Lilt,"A complete, high-quality, and affordable solution for enterprise translation",San Francisco,Translation,Mar 1,103
231,Butter.ai,"Your team has Q&#39;s, Butter.ai has A&#39;s",San Francisco,Knowledge Management,Jun 1,83
232,Ozlo,Ozlo is an integrated knowledge platform powering the intelligent future,Palo Alto,Mobile Application,Jun 1,65
233,Cobalt Robotics,Indoor robots as a security service,Palo Alto,Robotics,Nov 1,37
234,Human Augmentation,Companies that make us superhuman,San Francisco,Artificial Intelligence,Apr 1,170
235,Automat,Build Better Bots,Montreal,Messaging,Apr 1,40
236,Knowhere,"Building the world’s most trusted, objective and transparent news source",San Francisco,Artificial Intelligence,Jan 1,67
237,Alloy,A cloud solution for supply chain teams and sales teams,Vancouver,Supply Chain Management,Feb 1,217
238,SwiftKey,The keyboard that learns from you,London,Technology,Aug 1,27
239,LeadCrunch.ai,Intelligent Targeted Demand Generation ,San Francisco,Lead Generation,Apr 1,101
240,ShoppinPal,Integration and Apps platform for the SME Cloud,San Francisco,Retail Technology,Aug 1,232
241,Vufind (DBA DeepVu),Deep learning as a service for autonomous business planning for manufacturers,Berkeley,Enterprise Resource Planning,Jul 1,130
242,Gestoos,Computer vision platform that enables natural gesture control of digital devices,San Francisco,Advertising Platforms,Dec 1,55
243,The Reel - Discover Fashion Around You,Discover | Shop Fashion Around You. AI Fashion platform that styles you,San Francisco,Ecommerce,Mar 1,33
244,TritonWear,Redefining athlete limits with a wearable and app that actually guides to better training,Toronto,Big Data Analytics,Aug 1,73
245,Perfect Price,Dynamic pricing with AI,San Francisco,SaaS,Dec 1,77
246,Tagasauris,Video Search and Discovery Platform ,Santa Monica,Crowdsourcing,Jan 1,148
247,Kono.ai,AI Scheduling Assistant for Enterprises,San Francisco,SaaS,Nov 1,131
248,Factmata,Machine learning to battle misinformation/disinformation,London,Artificial Intelligence,Nov 1,292
249,Fusemachines,AI solutions and services provider,New York City,Artificial Intelligence,Mar 1,51
250,VIMOC Technologies,Powerful AI distributed edge computing platform,Mountain View,Big Data Analytics,Jan 1,95
251,Shield AI,Protecting service members and civilians with artificially intelligent systems,Pittsburgh,Robotics,Aug 1,159
252,Inovance,Making analyzing financial data easy and actionable,New York City,Financial Technology,Aug 1,143
253,AYLIEN,Extracting Reality from Data,Dublin,Artificial Intelligence,May 1,96
254,Nexus A.I.,&quot;Autodraft&quot; for Business Teams,Mountain View,B2B,Aug 1,81
255,Affectiva,Bringing artificial emotional intelligence to the digital world ,Boston,Emotions,May 1,111
256,GetData,Simple and affordable data gathering to help people make good decisions,San Francisco,Data Mining,May 1,29
257,Fellow Robots,Cloud-based Inventory Management and Supply Chain Solutions,Burlingame,Internet of Things,Jul 1,160
258,Charity Engine,World&#39;s biggest crowdsourced cloud platform,Boston,Big Data Analytics,Oct 1,90
259,Hedgeable,AI Based Private Banking,New York City,Startups,Dec 1,657
260,optimize.health,"optimize.health: Remote Patient Monitoring, Made Easy",Seattle,Artificial Intelligence,Aug 1,151
261,Heartbeat Health,"The most effective, efficient, &amp; delightful cardiovascular disease prevention in the world",Washington DC,Technology,Apr 1,70
262,KeyReply (AngelPad #10),AI chatbot platform for enterprises and governments,Singapore,SaaS,Jun 1,59
263,Kasisto,Leading conversational AI platform for the finance industry,Mountain View,Finance Technology,Aug 1,100
264,Paxata,Answers come faster with a little prep. see how you can make data worth analyzing,Redwood City,Data Integration,Jan 1,39
265,Dashbot,Actionable Analytics for Chatbots and Voice Skills,San Francisco,Big Data Analytics,Aug 1,45
266,Datacratic,Enabling Artificial Intelligence Innovation,Montreal,Big Data Analytics,Apr 1,19
267,Seldon,Machine Learning Deployment Platform,London,Open Source,Oct 1,86
268,The Grid,Website platform powered by artificial intelligence,San Francisco,SaaS,Aug 1,63
269,Finn AI,"Finn AI is an award-winning, conversational banking chatbot",Vancouver,Banking,Oct 1,139
270,Echobox,,London,Big Data,Dec 1,96
271,Vantage Analytics,"Please visit: <a href=""https://angel.co/vantage"">https://angel.co/vantage</a>",Toronto,E-Commerce Platforms,Jan 1,71
272,MixGenius,Intelligent Music Production SaaS,Montreal,Audio,Oct 1,71
273,Dispatch,making delivery smart,South San Francisco,Robotics,Nov 1,112
274,Insurify,The fastest way to shop for car insurance. Browse - Compare - Discover,Cambridge,Insurance,Oct 1,84
275,Cushion,"Get your bank and credit card fees refunded, automatically",San Francisco,Personal Finance,Nov 1,92
276,DecorMatters,The 1st collaborative platform making interior design easy and fun,San Francisco,Advertising Platforms,Jul 1,97
277,MoneyLion,"The easiest way to save more, borrow for less and invest everyday. all in one app",Sandy,Credit,Nov 1,45
278,"Quantified Skin (CRIXlabs, Inc.)",Cognifying everyday products using AI for the enterprise,San Francisco,Predictive Analytics,Mar 1,204
279,Sight Machine,The category leader for manufacturing analytics,Ann Arbor,Manufacturing,May 1,76
280,Business Texter,"Text a business, get an instant, intelligent answer",San Diego,Customer Service,Oct 1,35
281,Textio,Transforming your ideas into effective writing using the best version of your company’s voice,Seattle,Productivity Software,Oct 1,209
282,Luka,A.I. that recommends and books places to eat in a chat interface (YC W15),San Francisco,Restaurants,Aug 1,89
283,Avrio AI,AI Talent Platform ,Boston,Artificial Intelligence,Oct 1,132
284,NarrativeDx,The AI platform for Patient Experience Improvement,Austin,Hospitals,Jan 1,94
285,Algorithmia,"A marketplace and common API for algorithms, enabling AI in every application",Seattle,Algorithms,Mar 1,308
286,MarketMuse,"Transforming how you research, plan, and craft your content",Boston,Content Creators,Nov 1,103
287,Enzyme,Automating FDA compliance and approval,Remote,Medical Devices,Mar 1,79
